nk	sk
운명에 따라 령혼이 변할수 있을가, 령혼이 변할수 있을가, 령혼이 변할수 있을가?	운명에 의해 영혼이 완전히 변화되어 악해질 수 있을까, 운명이 악하다면?
한때 당신은 저녁때쯤에 신사들을 찾아가서 당신의 아름다움을 팔게 되였소.	한때 당신은 돈을 위해 저녁 무렵 신사들을 찾아갔고, 당신의 아름다움을 팔기 위해 왔습니다.
그들은 내 얼굴에 침을 뱉었다.	그들은 그저 내 얼굴에 침을 뱉었다.
당신은 템플선생이 아버지나 어머니나 아버지보다 훨씬 더 낫다고 생각하는것이 자기와 그의 외삼촌과 외삼촌을 달래는 일쯤은 능히 능히 할수 있을것이라고 생각했을거예요. 템플선생의 사업능력에 대한 딘씨의 긍정적인 보고와 그에 대한 딘씨의 견해, 그에 대한 딘씨의 견해 등이 그들사이의 폭넓은 의견의 씨앗이 되고있소.	당신은 톰이 아버지와 점점 더 뚜렷하게 닮지 않게 되는 것이 그의 외숙모와 외숙부를 달래기에 잘 맞았을 것이라고 상상할 수 있을 것이고, 톰의 사업 자질에 대한 딘 씨의 긍정적인 보고와 예측이 그들 사이에서 다양한 수용과 함께 논의되기 시작했다.
그뒤를 따라가면 사다리를 찾을수 있으리란것을 나는 확신했다.	그들을 따라간다면 사다리를 찾을 수 있을 것이라고 확신했다.
입찰자는 170으로 올라갔고 농민은 280으로 내려갔다.	우리 입찰자는 170으로 올랐고, 농부는 280으로 내려왔다.
쥴리앙은 생각했다.	그는 생각했다.
그러나 쥴리앙의 말투는 너무나도 침착하고 부드러웠으며 그의 젊은 령혼의 순박성은 듣는 이를 매혹시켰다.	하지만 그가 한 말은 너무나도 차분하게 아름다웠고, 그의 젊은 자아도취의 순진함이 너무나도 뚜렷해서 듣는 이들을 매료시켰다.
문장을 입혀주시면 기꺼이 번역해 드리겠어요.	문장을 입력해 주시면 기꺼이 번역해 드리겠습니다.
그리고 드물게 량심의 가책을 받는 일이 있을지도 모른다고 생각했다.	그리고 드물게, 나는 병적인 양심의 경우가 있을 것이라고 상상한다.
스텔링부인은 매기에게 머무르는 기간으로 한주일은 언급하지 않았지만 그 녀자를 무릎에 앉힌 다음 그 녀자의 음침한 눈이 어디서 왔는지 물어보았다. 그래서 스텔링부인은 그 녀자가 한주일동안은 머무르겠다고 대답했다.	스텔링 부인은 매기에게 머무는 기간으로 일주일 이상은 언급하지 않았지만, 그녀를 무릎 사이에 앉힌 스텔링 씨는 그녀의 어두운 눈이 어디서 왔는지 물으며 그녀가 반드시 2주 동안 머물러야 한다고 주장했다.
나는 도적이다.	나는 도둑이다.
좀더 걸을수 없을가요?	조금 걸어볼까요?
하고 그는 다시 일어서면서 말하였다.	웨이컴이 다시 일어나며 말했다.
양처럼 곱슬곱슬한 곱슬머리에 통통한 장미빛 입술, 아기같은 발, 이 모든것은 정말 매력있는것이였다. 그리하여 나는 그와 벗이 되였다.	"양처럼 작은 곱슬머리에, 통통한 장밋빛 입술, 아기 같은 발, 정말 매력적이다!
그래, 우리는 친구가 되었다."
그것은 길을 부드럽게 하고 준비하게 하려는것으로 생각된다.	그것은 길을 부드럽게 하고 준비하는 것 중 하나인 것 같다.
그 녀자는 사랑하는 사람의 무거운 얼굴을 바라보았다. 그때 아버지가 보낸 편지가 그 녀자의 기억속에 스쳐지나갔다.	그녀는 사랑하는 사람의 무거운 얼굴을 올려다보았고, 그때 아버지가 보낸 메시지가 그녀의 기억 속에 스쳐 지나갔다.
그게 당신 마음에 들지 않소?	그게 당신에게 흥미롭지 않나요?
어딘가 다른데로 가는 길이예요.	어딘가 그 방향으로.
로즈는 마을에서 쇼핑을 하다가 로렌스씨가 말에서 떨어져 죽어가고있다는것을 알아차렸다.	로즈는 마을에서 쇼핑을 하다가 로렌스 씨가 말에서 떨어져서 죽어가고 있다는 소식을 들었다.
그는 비탈리스였다.	그는 비탈리스이다.
이 섬의 한가운데서 잭이 왔어. 하고 말하였다.	그것은 이 섬 중 하나에서 왔어, 잭이 말했다.
그건 수고할 가치가 없어요.	그건 수고할 가치가 없어요.
나는 거리모퉁이에 있는 빵집으로 달려가 빵을 한개 샀다.	나는 거리 모퉁이에 있는 빵집으로 달려갔고 곧 롤빵을 하나 사서 그에게 건넸다.
그날밤 나는 꿈을 꾸었다.	그날 밤 내가 꾼 꿈.
나는 그가 돈문제때문에 나타난줄로만 알고있었다.	나는 그가 돈 문제로 호출된 것이라고 생각한다.
나는 당신을 따르겠소. 어디든지 당신을 따르겠소.	나는 당신을 따를 것이고, 어디든지 당신을 따르겠습니다.
배사공은 자기의 부름에 대한 작은 배려때문에 화가나서 다시 부르짖었다. 그리고 그 편지를 보낸 젊은 녀성의 이름을 되풀이하여 욕설을 퍼부었다.	뱃사공은 자신의 부름에 대한 작은 배려에 화가 나서 다시 외쳤고, 그 메시지를 보낸 젊은 여성의 이름을 반복하며 선원들의 욕설로 덧붙였다.
어머!	어머!
그는 지팽이를 들고 나에게 다가왔다. 본능적으로 나는 뒤로 물러섰다.	그는 지팡이를 들고 나에게 다가왔고, 본능적으로 나는 뒤로 물러섰다.
그러면 4,998루이 나가는거야. 하고 페피노는 무관심하게 말하였다.	그러면 그게 단지 4,998 루이 더 되는 거야, 페피노가 같은 무관심으로 말했다.
나는 빌에 들어갔어야 했다고 그는 라디슬로를 힐끗 바라보면서 덧붙였다.	나는 나중에 빌에 들어갔어야 했다고, 그는 라디슬로를 힐끗 보며 덧붙였다.
왜냐 하면 우리 군주들이 그보다 더 높이 평가하고있었기때문이였다.	왜냐하면 우리의 군주가 그를 그 전에 그렇게 높이 평가했기 때문이다.
창가림이 드리워져있어 여느때없이 빈자리를 메웠고 빠리의 패거리들이 모여들어 희롱하는 연극이 벌어지기가 바쁘게 첫막이 시작되였기때문에 객석에서는 손님들의 발걸음소리, 문이 닫기는 소리, 떠드는 소리밖에는 아무런 소리도 들려오지 않았다.	커튼이 올려졌고, 평소처럼 거의 빈 객석을 드러냈으며, 파리의 패션에서 공연이 시작된 후에야 오페라에 나타나는 것이 하나의 어처구니없는 관습이기 때문에, 첫 번째 막은 일반적으로 아무런 주목도 받지 않은 채 진행되며, 이미 모인 관객들은 새로 도착한 사람들을 관찰하는 데 너무 바빠서 문이 열리고 닫히는 소리와 대화의 웅성거림 외에는 아무 소리도 들리지 않는다.
나는 그와 친해지는것에는 흥미를 가지고있다.	나는 그것과 친해지는 데 특별한 관심이 있다.
쉬는날이요?	휴일인가요?
새로 온 하인은 불평없이 복종하고있었다. 마담이 보통 옆장에 열쇠를 걸고있기때문에 펠리시테는 매일저녁 기도를 드리고나서 혼자 침실로 가서 설탕을 한모금도 남기지 않고 먹었다.	새로운 하인은 쫓겨나지 않기 위해 불평 없이 복종했으며, 마담이 보통 옆장에 열쇠를 두기 때문에 펠리시테는 매일 저녁 기도를 마친 후 혼자 침대에서 먹기 위해 소량의 설탕을 챙겼다.
그러나 그 녀자는 곧 안도감을 느꼈다. 그의 계획적인 중재밑에서 메리의 아름다운 얼굴, 방안을 가득히 채운 라벤더의 향기로운 냄새, 아마도 모든 의혹의 중심에서 벗어나려고 애쓰고있던 로버트는 이 사나운 짐승의 심연속에 다시 잠겨들었던것이다.	그러나 그녀는 곧 안도했지만, 그의 계획된 중재와 머리카락 사이에서 희미하게 보이는 메리의 아름다운 얼굴, 방 안을 가득 채운 라벤더 향기, 그리고 아마도 나머지에 힘을 실어줄 만큼의 불미스러운 의혹이 겹쳐지면서 로버트는 모국어의 심연으로 다시 빠져들었고, 그 심연에서 그는 거대한 짐승처럼 이야기했다.
그것은 자라서 서로 부딪쳐서 표면에서 사라지고 깊이 가라앉았다가 다시 나타난다.	그리고 그것은 자라나고, 합쳐지고, 표면에서 사라지며, 깊이 가라앉았다가 다시 나타난다.
그 녀자의 출산이 임박하면 로씨야에 조산사를 보내여라.	그녀의 출산이 임박하면 모스크바에 조산사를 보내라.
마가렛은 조심스럽게 일어서서 연약한 어머니곁으로 다가갔다.	마가렛은 조심스럽게 일어나서 연약한 어머니 맞은편에 섰다.
내가 이 새로운 이야기에서 흰 조끼를 입은 신사가 옳았는가 어쨌는가를 판다면 그리고 올리버 트위스트의 생애가 이처럼 비인간적인 처지에 이르렀는가 어쨌는가를 판다면 이 서사의 흥미를 아예 상실한것으로 될지도 모를 일이다.	내가 후속 이야기에서 흰색 조끼를 입은 신사가 옳았는지 아닌지를 보여줄 예정이므로, 만약 내가 올리버 트위스트의 삶이 이러한 폭력적인 결말을 맞았는지 여부를 지금 살짝 암시한다면, 이 서사의 흥미를 망칠 수도 있을 것이다(이 서사가 아예 흥미를 가지고 있다고 가정할 경우).
당신은 맞췄소.	당신이 맞췄습니다.
우리 가족은 구걸하는것을 좋아하지 않아, 프레드.	우리 가족은 구걸하는 것을 좋아하지 않아, 프레드.
나는 그 녀자에 대해서는 아무것도 모르오.	그녀에 대해서는 아무것도 모릅니다.
어디에서나 모든 직업에서 새로 나온 사람들은 긴장하고 예민한 성격으로 특징지어질것이다.	아마도 어디에서나 모든 직업에서 아이디어를 가진 사람들은 긴장하고 과도한 예민함으로 특징지어질 것이다.
하나만 가지고있다면?	그가 하나 가지고 있다면?
그것은 나의 번호를 완전히 부정하는것이다.	그것은 내 번호를 완전히 망칠 것이다.
그 녀자는 책들이 필요없다는것을 초월한듯한 승리감에 책들을 내던져버렸으며 그것들이 그 녀자의것이였더라면 후회하지 않았을것이라고 생각하면서 그것을 태웠을것이다.	그녀는 처음의 열정 속에서 마치 그 책들이 필요 없다는 것을 초월한 듯한 승리감으로 책들을 내던졌고, 만약 그것들이 그녀의 것이었다면 결코 후회하지 않을 것이라고 믿으며 그것들을 태웠을 것이다.
무죄를 확증하는데는 성공했으니까.	그를 무죄로 입증하는 데.
그의 이름은 나의 가슴을 설레이게 하였으며 그의 이름은 구라파의 구라파를 흥분케 하였다.	그가 언급한 이름은 나를 설레게 했고, 그 이름은 그 시절 유럽을 설레게 할 수 있는 이름이었다.
나피어양은 그들에게 흡족한 마음을 품고 모든 사람과 악수를 하였다.	나피어 양은 그들에게 비슷한 환영을 하며, 모든 사람과 악수를 나누었다.
나는 시가에 불을 지피고나서 생각에 잠겼다. 그때에야 비로소 그 녀자가 문안으로 들어왔다.	나는 시가에 불을 붙이고 생각에 잠기기 시작했을 때, 그녀가 문으로 들어왔다.
이 집 가까이에서 살해된 그 늙은이가 살고있었다.	집 근처의 예를 들자면, 우리 지역에서 살해된 그 노파가 있다.
일어나! 게으름뱅이같으니라구!	일어나, 게으른 녀석아!
한번도 그런것을 본적은 없었다.	그것을 한 번 쳐다볼 시간도 거의 없었다.
그는 나를 기다리고있었다.	그는 나를 기다리고 있다.
그는 딸에게로 돌아서서 아무 말도 하지 않았다.	그는 딸에게 돌아서서 아무 말도 하지 않았다.
쥴리앙의 긴장된 줄이 끊어지면서 그의 가슴은 흐느끼는듯한 기쁨의 울음소리와 눈물을 흘리려고 하였다. 그는 오래동안 그에게 말을 걸지 못하게 되였다.	긴장된 줄이 끊어지며 그가 결코 예상하지 못했던 기쁨의 흐느낌과 눈물이 폭발적으로 솟구쳐 그의 온몸이 떨렸고, 오랫동안 그로 하여금 말을 하지 못하게 했다.
물론 그것은 비밀이였다. 마틸드는 지금이라도 말하지 않으면 안되겠지만 하고 약간 당황한 기색을 지으며 말하였다.	물론 그것은 큰 비밀이었고, 아마 지금 언급하지 말았어야 했을 것이라고 마가렛이 약간 당황한 듯 말했다.
오늘은 외출하지 않아서 말을 타지 않을가?	오늘은 외출해서 말을 타지 않을 것 같지?
왜 그런것을 나에게 숨겼느냐구?	왜 그런 것들을 나에게 숨겨야 하지?
그는 아버지와 할머니, 그리고 온 집안사람들을 거역하려고는 생각지도 않았다.	아버지와 할머니, 그리고 모든 가족에게 저항하겠다는 생각은 그녀에게 결코 떠오르지 않았다.
